v101,v102,v104,v106,v113,v115,v116,v119,v120,v121,v122,v123,v124,v125,v127,v128,v129,v130,v131,v133,v135,v136,v137,v138,v139,v140,v149,v150,v151,v152,v153,v155,v157,v158,v159,v161,v170,v190,v191,v201,v202,v203,v204,v205,v206,v207,v208,v209,v210,v213,v215,v216,v217,v218,v219,v220,v224,v226,v227,v228,v235,v238,v244,v301,v312,v313,v361,v364,v379,v380,v393,v394,v501,v502,v513,v525,v531,v532,v536,v602,v605,v613,v614,v623,v624,v625,v626,v627,v628,v629,v012,v384a,v384b,v384c,treatment,outcome
10.0,1.0,6.0,2.0,12.0,996.0,23.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,21.0,22.0,1.0,1.0,10.0,1.0,1.0,0.0,1.0,10.0,1.0,3.0,1.0,2.0,38.0,0.0,2.0,0.0,0.0,0.0,5.0,1.0,5.0,81954.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,1.0,1.0,12.0,1.0,0.0,0.0,4.0,2.0,5.0,15.0,15.0,0.0,3.0,1.0,3.0,4.0,4.0,0.0,3.0,0.0,3.0,2.0,2.0,0.0,38.0,1.0,1.0,0.0,1.0,0.0
10.0,1.0,5.0,1.0,12.0,996.0,23.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,35.0,21.0,31.0,1.0,6.0,4.0,1.0,3.0,0.0,1.0,10.0,1.0,1.0,2.0,1.0,35.0,0.0,1.0,0.0,2.0,2.0,7.0,0.0,5.0,140624.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,301.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0,3.0,3.0,1.0,1.0,12.0,1.0,0.0,1.0,1.0,1.0,3.0,17.0,17.0,6.0,1.0,1.0,2.0,4.0,4.0,0.0,3.0,0.0,3.0,2.0,2.0,0.0,28.0,1.0,1.0,0.0,1.0,0.0
3.0,2.0,11.0,0.0,21.0,30.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,21.0,31.0,1.0,1.0,0.0,1.0,5.0,2.0,1.0,3.0,2.0,0.0,2.0,1.0,35.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,3.0,-38176.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,301.0,1.0,5.0,3.0,3.0,3.0,3.0,997.0,3.0,0.0,3.0,1.0,0.0,3.0,3.0,3.0,1.0,1.0,12.0,1.0,0.0,1.0,1.0,1.0,3.0,11.0,11.0,0.0,1.0,3.0,5.0,4.0,4.0,2.0,4.0,2.0,4.0,2.0,2.0,0.0,27.0,0.0,0.0,0.0,1.0,
3.0,2.0,95.0,2.0,21.0,10.0,23.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,12.0,21.0,31.0,1.0,1.0,8.0,1.0,5.0,0.0,1.0,3.0,2.0,3.0,3.0,1.0,62.0,0.0,2.0,0.0,1.0,0.0,8.0,0.0,4.0,-25595.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,202.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,3.0,0.0,0.0,2.0,3.0,98.0,8.0,0.0,0.0,4.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,18.0,0.0,0.0,0.0,1.0,0.0
10.0,1.0,95.0,3.0,12.0,996.0,12.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,33.0,31.0,31.0,1.0,2.0,15.0,1.0,4.0,1.0,1.0,10.0,1.0,5.0,1.0,2.0,30.0,0.0,2.0,0.0,2.0,2.0,1.0,1.0,5.0,236954.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,301.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,3.0,3.0,3.0,1.0,1.0,32.0,4.0,0.0,1.0,1.0,1.0,1.0,27.0,27.0,0.0,1.0,1.0,1.0,6.0,6.0,0.0,3.0,0.0,3.0,0.0,0.0,6.0,31.0,1.0,1.0,0.0,1.0,0.0
10.0,1.0,95.0,1.0,12.0,996.0,23.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,32.0,21.0,31.0,4.0,6.0,5.0,1.0,4.0,1.0,1.0,10.0,1.0,1.0,2.0,1.0,35.0,0.0,2.0,0.0,1.0,2.0,1.0,0.0,5.0,149454.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,401.0,0.0,4.0,1.0,1.0,1.0,2.0,12.0,0.0,1.0,2.0,0.0,1.0,3.0,3.0,3.0,1.0,1.0,32.0,4.0,0.0,1.0,1.0,1.0,2.0,17.0,17.0,0.0,1.0,1.0,1.0,4.0,4.0,3.0,3.0,3.0,3.0,2.0,2.0,0.0,26.0,0.0,0.0,0.0,1.0,0.0
10.0,1.0,95.0,3.0,71.0,996.0,12.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,35.0,31.0,31.0,1.0,1.0,16.0,1.0,6.0,1.0,3.0,10.0,1.0,5.0,2.0,1.0,35.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,5.0,237428.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,203.0,1.0,3.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,8.0,3.0,3.0,3.0,1.0,1.0,21.0,3.0,0.0,1.0,1.0,1.0,1.0,24.0,24.0,6.0,1.0,1.0,1.0,4.0,4.0,0.0,3.0,0.0,3.0,2.0,2.0,0.0,28.0,0.0,1.0,0.0,1.0,0.0
3.0,2.0,95.0,1.0,21.0,10.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,21.0,31.0,1.0,1.0,1.0,1.0,2.0,0.0,1.0,3.0,2.0,1.0,2.0,1.0,30.0,0.0,1.0,0.0,0.0,0.0,8.0,0.0,4.0,-30604.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,203.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,3.0,1.0,1.0,12.0,1.0,0.0,0.0,1.0,1.0,1.0,18.0,18.0,0.0,1.0,1.0,1.0,5.0,5.0,0.0,3.0,0.0,3.0,2.0,2.0,1.0,19.0,0.0,0.0,0.0,1.0,0.0
1.0,2.0,95.0,0.0,31.0,150.0,31.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,22.0,31.0,1.0,3.0,0.0,1.0,8.0,1.0,1.0,1.0,2.0,0.0,2.0,1.0,50.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,2.0,-49104.0,7.0,4.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,201.0,1.0,5.0,6.0,6.0,6.0,7.0,0.0,0.0,0.0,2.0,0.0,1.0,3.0,0.0,0.0,2.0,4.0,98.0,8.0,0.0,0.0,1.0,1.0,5.0,14.0,14.0,0.0,1.0,1.0,1.0,8.0,6.0,0.0,7.0,0.0,7.0,6.0,2.0,0.0,44.0,1.0,1.0,0.0,1.0,1.0
3.0,2.0,95.0,1.0,97.0,997.0,97.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,97.0,97.0,97.0,1.0,1.0,1.0,2.0,7.0,1.0,2.0,97.0,7.0,1.0,8.0,1.0,33.0,7.0,0.0,0.0,0.0,0.0,97.0,0.0,4.0,-31798.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,995.0,0.0,5.0,1.0,1.0,1.0,1.0,995.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,3.0,3.0,98.0,8.0,0.0,1.0,5.0,2.0,1.0,24.0,24.0,0.0,2.0,3.0,5.0,3.0,3.0,2.0,8.0,2.0,8.0,2.0,1.0,0.0,28.0,0.0,0.0,0.0,1.0,0.0
1.0,2.0,95.0,0.0,14.0,90.0,31.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,32.0,31.0,1.0,3.0,0.0,1.0,5.0,1.0,1.0,1.0,2.0,0.0,1.0,2.0,28.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,2.0,-52825.0,4.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,301.0,1.0,3.0,4.0,4.0,4.0,4.0,1.0,0.0,0.0,2.0,0.0,1.0,3.0,0.0,0.0,2.0,3.0,98.0,8.0,0.0,1.0,4.0,2.0,4.0,13.0,13.0,6.0,3.0,1.0,3.0,95.0,7.0,0.0,8.0,0.0,8.0,95.0,95.0,95.0,28.0,0.0,0.0,0.0,1.0,0.0
1.0,2.0,5.0,1.0,21.0,120.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,22.0,31.0,1.0,3.0,1.0,1.0,4.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,30.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,2.0,-61109.0,3.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,310.0,0.0,5.0,2.0,2.0,2.0,3.0,997.0,1.0,0.0,3.0,1.0,1.0,3.0,0.0,0.0,3.0,3.0,98.0,8.0,0.0,0.0,1.0,1.0,3.0,14.0,14.0,0.0,2.0,1.0,2.0,4.0,4.0,3.0,9.0,3.0,9.0,2.0,2.0,0.0,25.0,0.0,0.0,0.0,1.0,0.0
3.0,2.0,95.0,0.0,21.0,10.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,21.0,31.0,1.0,1.0,0.0,1.0,6.0,2.0,1.0,3.0,2.0,0.0,2.0,1.0,32.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,4.0,-24473.0,4.0,3.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,995.0,0.0,8.0,4.0,4.0,4.0,4.0,995.0,0.0,0.0,3.0,1.0,1.0,3.0,0.0,0.0,3.0,3.0,98.0,8.0,0.0,0.0,1.0,1.0,3.0,14.0,14.0,6.0,1.0,1.0,2.0,95.0,7.0,2.0,7.0,2.0,7.0,95.0,95.0,95.0,27.0,0.0,0.0,0.0,1.0,0.0
1.0,2.0,3.0,0.0,41.0,60.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,22.0,31.0,1.0,3.0,0.0,1.0,2.0,1.0,1.0,1.0,2.0,0.0,1.0,2.0,18.0,0.0,0.0,0.0,1.0,0.0,7.0,0.0,2.0,-53775.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,995.0,0.0,5.0,1.0,1.0,1.0,1.0,995.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,0.0,3.0,3.0,98.0,8.0,0.0,1.0,1.0,1.0,1.0,14.0,14.0,0.0,2.0,1.0,2.0,4.0,4.0,2.0,7.0,2.0,7.0,2.0,2.0,0.0,19.0,0.0,0.0,0.0,1.0,0.0
1.0,2.0,10.0,2.0,42.0,180.0,41.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,34.0,32.0,31.0,1.0,3.0,10.0,1.0,5.0,2.0,1.0,1.0,2.0,3.0,2.0,1.0,35.0,0.0,2.0,0.0,0.0,2.0,7.0,0.0,5.0,36215.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,315.0,0.0,3.0,3.0,3.0,3.0,3.0,995.0,9.0,1.0,3.0,1.0,1.0,3.0,0.0,0.0,3.0,3.0,98.0,8.0,1.0,1.0,1.0,1.0,3.0,19.0,19.0,0.0,1.0,3.0,5.0,2.0,2.0,2.0,7.0,2.0,7.0,1.0,1.0,0.0,31.0,0.0,1.0,0.0,1.0,0.0
1.0,2.0,4.0,1.0,97.0,997.0,97.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,97.0,97.0,97.0,1.0,3.0,7.0,2.0,6.0,0.0,2.0,97.0,7.0,1.0,3.0,2.0,37.0,7.0,2.0,0.0,1.0,0.0,97.0,0.0,2.0,-49855.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,203.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,2.0,3.0,98.0,8.0,1.0,1.0,1.0,1.0,1.0,19.0,19.0,0.0,1.0,1.0,1.0,4.0,4.0,0.0,7.0,0.0,7.0,2.0,2.0,0.0,20.0,0.0,0.0,0.0,1.0,
11.0,1.0,12.0,1.0,13.0,996.0,22.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,34.0,31.0,31.0,4.0,2.0,2.0,1.0,4.0,0.0,1.0,11.0,1.0,1.0,1.0,2.0,30.0,0.0,1.0,1.0,1.0,2.0,8.0,1.0,5.0,64547.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103.0,1.0,3.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,3.0,3.0,1.0,1.0,12.0,1.0,0.0,0.0,2.0,1.0,2.0,18.0,18.0,0.0,1.0,1.0,1.0,8.0,6.0,0.0,3.0,0.0,3.0,4.0,4.0,0.0,28.0,0.0,1.0,0.0,1.0,0.0
1.0,2.0,12.0,0.0,21.0,180.0,31.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,34.0,32.0,31.0,1.0,3.0,0.0,1.0,5.0,0.0,1.0,1.0,2.0,0.0,2.0,1.0,58.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,5.0,-232.0,6.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,115.0,1.0,3.0,4.0,4.0,4.0,6.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,0.0,0.0,2.0,4.0,98.0,8.0,0.0,1.0,1.0,1.0,7.0,12.0,12.0,6.0,1.0,1.0,1.0,8.0,6.0,0.0,7.0,0.0,7.0,6.0,2.0,0.0,43.0,0.0,0.0,0.0,1.0,1.0
11.0,1.0,95.0,0.0,13.0,996.0,22.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,34.0,31.0,12.0,4.0,2.0,0.0,1.0,8.0,1.0,4.0,11.0,1.0,0.0,1.0,2.0,35.0,0.0,0.0,0.0,0.0,2.0,7.0,1.0,5.0,110101.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,201.0,1.0,4.0,3.0,3.0,3.0,3.0,0.0,0.0,1.0,2.0,0.0,1.0,3.0,0.0,0.0,2.0,4.0,98.0,8.0,0.0,1.0,1.0,1.0,4.0,17.0,17.0,0.0,1.0,1.0,1.0,16.0,6.0,0.0,7.0,0.0,7.0,10.0,6.0,0.0,36.0,1.0,1.0,0.0,1.0,0.0
1.0,2.0,95.0,0.0,21.0,30.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,22.0,31.0,1.0,3.0,0.0,1.0,8.0,1.0,2.0,1.0,2.0,0.0,2.0,1.0,37.0,0.0,0.0,0.0,1.0,0.0,11.0,0.0,3.0,-40964.0,6.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,302.0,0.0,4.0,6.0,6.0,6.0,6.0,2.0,0.0,0.0,2.0,1.0,1.0,3.0,3.0,3.0,1.0,1.0,12.0,1.0,0.0,1.0,1.0,1.0,4.0,22.0,22.0,6.0,1.0,3.0,5.0,95.0,7.0,0.0,4.0,0.0,4.0,95.0,95.0,95.0,39.0,0.0,0.0,0.0,1.0,0.0
1.0,2.0,95.0,2.0,41.0,20.0,31.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,12.0,22.0,31.0,1.0,3.0,11.0,1.0,6.0,1.0,2.0,1.0,2.0,3.0,3.0,1.0,65.0,0.0,2.0,1.0,2.0,1.0,8.0,1.0,3.0,-46023.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,1.0,1.0,12.0,1.0,0.0,0.0,5.0,2.0,1.0,18.0,18.0,0.0,1.0,1.0,2.0,3.0,3.0,0.0,3.0,0.0,3.0,2.0,1.0,0.0,19.0,1.0,1.0,0.0,1.0,0.0
1.0,2.0,95.0,1.0,14.0,20.0,31.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,11.0,22.0,23.0,1.0,3.0,4.0,1.0,4.0,1.0,1.0,1.0,2.0,1.0,4.0,1.0,72.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,2.0,-49963.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,201.0,1.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,2.0,1.0,1.0,3.0,0.0,0.0,2.0,4.0,98.0,8.0,1.0,0.0,1.0,1.0,2.0,18.0,18.0,0.0,1.0,1.0,1.0,95.0,7.0,0.0,7.0,0.0,7.0,95.0,95.0,95.0,27.0,0.0,0.0,0.0,1.0,
1.0,2.0,6.0,0.0,31.0,10.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,22.0,31.0,1.0,3.0,0.0,1.0,6.0,3.0,1.0,1.0,2.0,0.0,2.0,1.0,43.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,3.0,-43145.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,310.0,0.0,4.0,3.0,3.0,3.0,3.0,995.0,9.0,0.0,0.0,2.0,1.0,3.0,0.0,0.0,3.0,3.0,98.0,8.0,1.0,1.0,1.0,1.0,3.0,20.0,20.0,0.0,2.0,1.0,2.0,4.0,4.0,2.0,7.0,2.0,7.0,2.0,2.0,0.0,31.0,0.0,0.0,0.0,1.0,0.0
1.0,2.0,95.0,0.0,21.0,15.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,22.0,23.0,1.0,3.0,0.0,1.0,10.0,3.0,2.0,1.0,2.0,0.0,3.0,2.0,69.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,2.0,-58912.0,5.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,995.0,0.0,3.0,5.0,5.0,5.0,5.0,995.0,0.0,0.0,3.0,1.0,1.0,3.0,0.0,0.0,3.0,3.0,98.0,8.0,1.0,1.0,1.0,1.0,5.0,19.0,19.0,0.0,1.0,3.0,5.0,8.0,6.0,2.0,7.0,2.0,7.0,6.0,2.0,0.0,39.0,0.0,0.0,0.0,1.0,0.0
