v101,v102,v104,v106,v113,v115,v116,v119,v120,v121,v122,v123,v124,v125,v127,v128,v129,v130,v131,v133,v135,v136,v137,v138,v139,v140,v149,v150,v151,v152,v153,v155,v157,v158,v159,v161,v167,v170,v190,v191,v201,v202,v203,v204,v205,v206,v207,v208,v209,v210,v213,v215,v216,v217,v218,v219,v220,v224,v226,v227,v228,v235,v238,v244,v301,v312,v313,v361,v364,v393,v394,v501,v502,v513,v525,v531,v532,v536,v602,v605,v613,v614,v623,v624,v625,v626,v627,v628,v629,v012,v384a,v384b,v384c,treatment,outcome
4.0,2.0,4.0,2.0,31.0,20.0,22.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,34.0,34.0,31.0,1.0,17.0,7.0,1.0,6.0,0.0,1.0,4.0,2.0,3.0,5.0,1.0,78.0,0.0,2.0,0.0,0.0,0.0,8.0,0.0,0.0,4.0,50620.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,203.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,14.0,14.0,0.0,1.0,1.0,3.0,4.0,4.0,0.0,3.0,0.0,3.0,2.0,2.0,0.0,19.0,0.0,0.0,0.0,1.0,0.0
4.0,2.0,95.0,2.0,31.0,15.0,22.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,34.0,31.0,31.0,1.0,17.0,12.0,1.0,5.0,0.0,1.0,4.0,2.0,4.0,2.0,1.0,36.0,0.0,2.0,0.0,1.0,0.0,7.0,0.0,0.0,4.0,34036.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,303.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,0.0,1.0,0.0,1.0,3.0,3.0,3.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,16.0,16.0,0.0,1.0,2.0,4.0,4.0,4.0,0.0,3.0,0.0,3.0,2.0,2.0,0.0,31.0,0.0,0.0,0.0,1.0,
2.0,2.0,5.0,0.0,31.0,20.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,31.0,31.0,2.0,19.0,0.0,1.0,7.0,2.0,2.0,2.0,2.0,0.0,8.0,2.0,46.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,0.0,3.0,-19977.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,202.0,1.0,3.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,3.0,3.0,1.0,1.0,0.0,0.0,1.0,1.0,2.0,18.0,18.0,0.0,3.0,2.0,4.0,5.0,5.0,0.0,3.0,0.0,3.0,2.0,3.0,0.0,30.0,1.0,0.0,0.0,1.0,0.0
4.0,2.0,11.0,2.0,31.0,996.0,22.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,34.0,31.0,31.0,1.0,17.0,9.0,1.0,7.0,1.0,2.0,4.0,2.0,3.0,1.0,2.0,33.0,0.0,2.0,0.0,1.0,0.0,7.0,7.0,1.0,4.0,65737.0,3.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,202.0,1.0,3.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,2.0,1.0,0.0,3.0,3.0,3.0,1.0,1.0,0.0,0.0,1.0,1.0,3.0,16.0,16.0,0.0,1.0,3.0,5.0,4.0,4.0,0.0,4.0,0.0,4.0,2.0,2.0,0.0,33.0,0.0,0.0,0.0,1.0,
1.0,2.0,10.0,0.0,43.0,40.0,22.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,34.0,31.0,31.0,1.0,95.0,0.0,1.0,7.0,1.0,1.0,1.0,2.0,0.0,2.0,1.0,34.0,0.0,0.0,0.0,2.0,0.0,8.0,0.0,0.0,3.0,4123.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,106.0,1.0,4.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,2.0,0.0,1.0,3.0,3.0,3.0,1.0,1.0,1.0,0.0,1.0,1.0,3.0,12.0,12.0,0.0,1.0,2.0,4.0,4.0,4.0,0.0,3.0,0.0,3.0,2.0,2.0,0.0,23.0,1.0,0.0,0.0,1.0,0.0
1.0,2.0,15.0,0.0,42.0,15.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,13.0,31.0,1.0,95.0,0.0,1.0,7.0,1.0,1.0,1.0,2.0,0.0,2.0,1.0,40.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,0.0,2.0,-69809.0,6.0,2.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,202.0,1.0,3.0,5.0,5.0,5.0,6.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,10.0,10.0,0.0,1.0,3.0,5.0,6.0,6.0,0.0,4.0,0.0,4.0,3.0,3.0,0.0,30.0,1.0,0.0,0.0,1.0,0.0
1.0,2.0,95.0,1.0,42.0,15.0,22.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,34.0,31.0,31.0,1.0,95.0,2.0,1.0,12.0,3.0,2.0,1.0,2.0,1.0,2.0,1.0,45.0,0.0,0.0,0.0,2.0,1.0,8.0,7.0,0.0,3.0,-11539.0,6.0,2.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,104.0,1.0,3.0,5.0,5.0,5.0,6.0,0.0,0.0,0.0,3.0,1.0,1.0,3.0,0.0,0.0,3.0,3.0,1.0,1.0,1.0,1.0,5.0,15.0,15.0,0.0,2.0,3.0,5.0,6.0,6.0,0.0,2.0,0.0,2.0,2.0,3.0,1.0,38.0,1.0,0.0,0.0,1.0,0.0
3.0,2.0,22.0,0.0,42.0,45.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,31.0,31.0,2.0,14.0,0.0,1.0,7.0,0.0,2.0,3.0,2.0,0.0,1.0,2.0,40.0,0.0,0.0,0.0,2.0,2.0,8.0,0.0,0.0,3.0,-29291.0,6.0,2.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,101.0,1.0,2.0,5.0,5.0,5.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,3.0,3.0,1.0,1.0,1.0,0.0,1.0,1.0,5.0,18.0,18.0,0.0,3.0,1.0,2.0,6.0,6.0,0.0,3.0,0.0,3.0,2.0,4.0,0.0,40.0,1.0,0.0,0.0,1.0,0.0
3.0,2.0,95.0,2.0,21.0,5.0,22.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,34.0,31.0,31.0,2.0,14.0,7.0,1.0,2.0,0.0,1.0,3.0,2.0,3.0,2.0,1.0,21.0,0.0,0.0,0.0,1.0,1.0,8.0,14.0,0.0,3.0,3530.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,202.0,1.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,3.0,3.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,14.0,14.0,0.0,1.0,1.0,1.0,4.0,4.0,0.0,3.0,0.0,3.0,2.0,2.0,0.0,19.0,0.0,0.0,0.0,1.0,
3.0,2.0,95.0,1.0,21.0,30.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,13.0,31.0,2.0,14.0,4.0,1.0,6.0,1.0,2.0,3.0,2.0,1.0,3.0,1.0,53.0,0.0,0.0,0.0,2.0,1.0,8.0,0.0,0.0,1.0,-80515.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,204.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,15.0,15.0,0.0,3.0,1.0,3.0,6.0,6.0,0.0,8.0,0.0,8.0,3.0,3.0,0.0,18.0,0.0,0.0,0.0,1.0,1.0
3.0,2.0,95.0,0.0,21.0,996.0,22.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,34.0,31.0,31.0,1.0,14.0,0.0,1.0,8.0,2.0,2.0,3.0,2.0,0.0,2.0,1.0,45.0,0.0,0.0,0.0,1.0,0.0,8.0,2.0,0.0,3.0,5301.0,8.0,3.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,202.0,1.0,2.0,6.0,6.0,6.0,8.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,3.0,3.0,1.0,1.0,0.0,0.0,1.0,1.0,5.0,14.0,14.0,6.0,1.0,3.0,5.0,4.0,4.0,0.0,4.0,0.0,4.0,2.0,2.0,0.0,35.0,0.0,0.0,0.0,1.0,
2.0,2.0,95.0,0.0,43.0,20.0,31.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,11.0,13.0,31.0,2.0,20.0,0.0,1.0,12.0,3.0,3.0,2.0,2.0,0.0,2.0,1.0,42.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,1.0,-83776.0,6.0,1.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,108.0,1.0,2.0,5.0,5.0,5.0,6.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,3.0,3.0,1.0,1.0,0.0,0.0,1.0,1.0,5.0,15.0,15.0,0.0,1.0,3.0,5.0,4.0,4.0,0.0,4.0,0.0,4.0,2.0,2.0,0.0,36.0,1.0,0.0,0.0,1.0,0.0
3.0,2.0,95.0,1.0,21.0,30.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,13.0,31.0,2.0,14.0,5.0,1.0,4.0,2.0,1.0,3.0,2.0,1.0,1.0,2.0,16.0,0.0,1.0,0.0,0.0,2.0,8.0,0.0,0.0,2.0,-73924.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,202.0,1.0,3.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,3.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,11.0,11.0,0.0,3.0,1.0,2.0,4.0,4.0,0.0,3.0,0.0,3.0,2.0,2.0,0.0,16.0,0.0,0.0,0.0,1.0,
1.0,1.0,8.0,0.0,31.0,45.0,22.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,34.0,31.0,31.0,2.0,16.0,0.0,1.0,7.0,2.0,3.0,1.0,1.0,0.0,1.0,2.0,32.0,0.0,0.0,0.0,1.0,0.0,7.0,1.0,0.0,5.0,138804.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,202.0,1.0,8.0,2.0,2.0,2.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,3.0,3.0,1.0,1.0,0.0,0.0,3.0,2.0,3.0,15.0,15.0,0.0,3.0,2.0,4.0,3.0,3.0,0.0,3.0,0.0,3.0,2.0,1.0,0.0,32.0,0.0,1.0,0.0,1.0,0.0
1.0,1.0,4.0,2.0,31.0,45.0,22.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,34.0,31.0,31.0,2.0,19.0,12.0,1.0,3.0,0.0,1.0,1.0,1.0,4.0,2.0,1.0,32.0,0.0,2.0,0.0,1.0,2.0,7.0,0.0,0.0,5.0,162301.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,307.0,0.0,8.0,0.0,1.0,1.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,3.0,0.0,1.0,1.0,1.0,1.0,17.0,17.0,0.0,3.0,1.0,2.0,3.0,3.0,1.0,7.0,1.0,7.0,0.0,0.0,3.0,20.0,0.0,0.0,0.0,1.0,0.0
1.0,1.0,15.0,2.0,31.0,55.0,22.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,34.0,31.0,31.0,2.0,12.0,12.0,1.0,10.0,2.0,3.0,1.0,1.0,4.0,3.0,2.0,41.0,0.0,2.0,0.0,1.0,1.0,7.0,0.0,0.0,5.0,149998.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,203.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,15.0,15.0,0.0,3.0,1.0,3.0,4.0,4.0,0.0,3.0,0.0,3.0,2.0,2.0,0.0,18.0,1.0,1.0,0.0,1.0,0.0
1.0,1.0,6.0,1.0,31.0,45.0,22.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,34.0,31.0,31.0,2.0,13.0,6.0,1.0,4.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,32.0,0.0,1.0,0.0,0.0,1.0,7.0,0.0,0.0,5.0,163085.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,202.0,1.0,5.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,3.0,3.0,0.0,1.0,1.0,1.0,1.0,16.0,16.0,0.0,1.0,1.0,2.0,4.0,4.0,0.0,1.0,0.0,1.0,2.0,2.0,0.0,23.0,0.0,0.0,0.0,1.0,0.0
5.0,1.0,95.0,2.0,13.0,996.0,22.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,33.0,31.0,31.0,1.0,11.0,12.0,1.0,4.0,0.0,2.0,5.0,1.0,4.0,3.0,1.0,58.0,0.0,0.0,0.0,2.0,2.0,7.0,0.0,1.0,5.0,207399.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,302.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,13.0,13.0,0.0,1.0,2.0,4.0,2.0,2.0,0.0,3.0,0.0,3.0,1.0,1.0,0.0,25.0,1.0,1.0,0.0,1.0,0.0
5.0,1.0,2.0,2.0,13.0,996.0,12.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,33.0,24.0,31.0,1.0,14.0,11.0,1.0,4.0,2.0,1.0,5.0,1.0,3.0,2.0,1.0,32.0,0.0,1.0,0.0,2.0,2.0,7.0,0.0,1.0,5.0,237882.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,202.0,1.0,4.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,3.0,3.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,18.0,18.0,0.0,1.0,1.0,2.0,4.0,4.0,0.0,3.0,0.0,3.0,2.0,2.0,0.0,23.0,1.0,1.0,0.0,1.0,0.0
1.0,1.0,17.0,0.0,41.0,60.0,22.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,34.0,31.0,31.0,2.0,12.0,0.0,1.0,7.0,1.0,1.0,1.0,1.0,0.0,2.0,1.0,45.0,0.0,0.0,0.0,1.0,2.0,7.0,0.0,0.0,5.0,124971.0,5.0,2.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,201.0,1.0,5.0,4.0,4.0,4.0,5.0,0.0,0.0,0.0,2.0,1.0,0.0,3.0,3.0,3.0,1.0,1.0,0.0,1.0,1.0,1.0,4.0,17.0,17.0,0.0,1.0,2.0,4.0,4.0,4.0,0.0,3.0,0.0,3.0,2.0,2.0,0.0,35.0,1.0,0.0,0.0,1.0,
1.0,1.0,14.0,1.0,31.0,45.0,22.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,34.0,31.0,31.0,1.0,95.0,2.0,1.0,7.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,37.0,0.0,0.0,0.0,1.0,1.0,7.0,0.0,0.0,5.0,118797.0,6.0,1.0,3.0,0.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,995.0,0.0,5.0,5.0,5.0,5.0,6.0,995.0,0.0,0.0,3.0,1.0,0.0,3.0,0.0,0.0,3.0,3.0,0.0,1.0,1.0,1.0,2.0,15.0,15.0,0.0,2.0,3.0,5.0,6.0,6.0,2.0,7.0,2.0,7.0,3.0,3.0,0.0,35.0,1.0,0.0,0.0,1.0,1.0
5.0,1.0,12.0,0.0,13.0,996.0,23.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,34.0,96.0,31.0,1.0,17.0,0.0,1.0,5.0,1.0,1.0,5.0,1.0,0.0,8.0,2.0,50.0,1.0,0.0,0.0,2.0,2.0,7.0,0.0,0.0,4.0,55328.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,190.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,3.0,1.0,1.0,0.0,0.0,1.0,1.0,3.0,15.0,15.0,6.0,3.0,2.0,4.0,5.0,5.0,0.0,3.0,0.0,3.0,2.0,3.0,0.0,26.0,1.0,0.0,0.0,1.0,0.0
5.0,1.0,5.0,2.0,42.0,25.0,22.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,31.0,31.0,2.0,19.0,10.0,1.0,4.0,2.0,1.0,5.0,1.0,3.0,2.0,1.0,24.0,0.0,2.0,0.0,2.0,1.0,7.0,1.0,0.0,4.0,78361.0,3.0,0.0,2.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,201.0,1.0,3.0,2.0,2.0,2.0,3.0,0.0,0.0,0.0,3.0,1.0,0.0,3.0,0.0,0.0,2.0,3.0,0.0,1.0,1.0,1.0,1.0,15.0,15.0,0.0,1.0,3.0,5.0,3.0,3.0,0.0,2.0,0.0,2.0,1.0,2.0,0.0,23.0,1.0,0.0,0.0,1.0,
4.0,2.0,95.0,0.0,32.0,10.0,31.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,11.0,22.0,31.0,2.0,17.0,0.0,1.0,3.0,1.0,1.0,4.0,2.0,0.0,2.0,1.0,57.0,0.0,0.0,0.0,1.0,0.0,8.0,0.0,0.0,1.0,-90251.0,9.0,0.0,1.0,1.0,1.0,1.0,5.0,2.0,0.0,0.0,0.0,313.0,0.0,2.0,3.0,3.0,3.0,9.0,13.0,0.0,1.0,3.0,1.0,0.0,3.0,0.0,0.0,2.0,3.0,0.0,0.0,1.0,1.0,4.0,15.0,15.0,0.0,1.0,1.0,1.0,10.0,6.0,3.0,9.0,3.0,9.0,5.0,5.0,0.0,36.0,1.0,0.0,0.0,1.0,1.0
4.0,2.0,95.0,2.0,31.0,10.0,22.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,34.0,31.0,31.0,2.0,19.0,9.0,1.0,6.0,1.0,2.0,4.0,2.0,3.0,3.0,2.0,48.0,0.0,2.0,0.0,0.0,0.0,7.0,1.0,0.0,4.0,53860.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,101.0,1.0,8.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,8.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,16.0,16.0,0.0,2.0,1.0,3.0,4.0,4.0,0.0,3.0,0.0,3.0,2.0,2.0,0.0,18.0,0.0,0.0,0.0,1.0,
