v101,v102,v104,v106,v113,v115,v116,v119,v120,v121,v122,v123,v124,v125,v127,v128,v129,v130,v131,v133,v135,v136,v137,v138,v139,v140,v149,v150,v151,v152,v153,v155,v157,v158,v159,v161,v167,v190,v191,v201,v202,v203,v204,v205,v206,v207,v208,v209,v210,v213,v215,v216,v217,v218,v219,v220,v224,v226,v227,v228,v235,v238,v301,v312,v313,v361,v364,v393,v394,v501,v502,v513,v525,v531,v532,v536,v602,v605,v613,v614,v623,v624,v625,v626,v627,v628,v629,v012,v384a,v384b,v384c,treatment,outcome
9.0,1.0,0.0,1.0,12.0,996.0,21.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,34.0,27.0,21.0,2.0,6.0,5.0,1.0,8.0,2.0,1.0,9.0,1.0,1.0,2.0,1.0,53.0,0.0,2.0,0.0,1.0,1.0,7.0,2.0,5.0,90886.0,8.0,2.0,4.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,101.0,1.0,3.0,6.0,6.0,6.0,8.0,0.0,0.0,0.0,3.0,0.0,3.0,11.0,3.0,1.0,1.0,0.0,1.0,1.0,1.0,4.0,17.0,17.0,0.0,1.0,3.0,5.0,4.0,4.0,0.0,4.0,0.0,4.0,2.0,2.0,0.0,36.0,1.0,1.0,0.0,1.0,0.0
9.0,1.0,7.0,1.0,71.0,30.0,21.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,34.0,27.0,21.0,2.0,4.0,8.0,1.0,3.0,1.0,1.0,9.0,1.0,2.0,2.0,1.0,30.0,0.0,2.0,0.0,2.0,2.0,2.0,2.0,5.0,148645.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,307.0,0.0,4.0,1.0,2.0,2.0,1.0,7.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,2.0,3.0,0.0,1.0,2.0,1.0,2.0,96.0,18.0,0.0,1.0,1.0,2.0,3.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,24.0,0.0,1.0,0.0,0.0,0.0
9.0,1.0,95.0,1.0,12.0,996.0,12.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,34.0,31.0,21.0,2.0,4.0,2.0,1.0,6.0,2.0,2.0,9.0,1.0,1.0,1.0,2.0,38.0,0.0,1.0,1.0,2.0,2.0,8.0,2.0,5.0,116361.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,201.0,1.0,5.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0,2.0,0.0,3.0,1.0,3.0,1.0,1.0,0.0,0.0,1.0,1.0,5.0,16.0,15.0,3.0,1.0,3.0,5.0,3.0,3.0,0.0,4.0,0.0,4.0,0.0,3.0,0.0,38.0,1.0,1.0,0.0,0.0,0.0
9.0,1.0,2.0,2.0,12.0,996.0,12.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,34.0,31.0,21.0,1.0,4.0,12.0,1.0,6.0,2.0,2.0,9.0,1.0,4.0,3.0,2.0,38.0,0.0,2.0,0.0,1.0,2.0,8.0,1.0,5.0,116361.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,202.0,1.0,4.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,3.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,21.0,21.0,0.0,1.0,1.0,3.0,3.0,3.0,0.0,3.0,0.0,3.0,1.0,2.0,0.0,22.0,1.0,1.0,0.0,0.0,
9.0,1.0,1.0,1.0,13.0,20.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,35.0,21.0,1.0,6.0,8.0,1.0,5.0,1.0,1.0,9.0,1.0,2.0,3.0,2.0,55.0,0.0,2.0,2.0,2.0,2.0,5.0,1.0,4.0,39312.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,203.0,1.0,3.0,2.0,2.0,2.0,2.0,0.0,0.0,1.0,2.0,1.0,3.0,0.0,0.0,2.0,3.0,0.0,1.0,5.0,2.0,2.0,17.0,17.0,0.0,3.0,1.0,2.0,4.0,4.0,0.0,8.0,0.0,8.0,2.0,2.0,0.0,26.0,1.0,0.0,1.0,1.0,0.0
9.0,1.0,9.0,2.0,13.0,10.0,22.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,34.0,27.0,21.0,2.0,9.0,12.0,1.0,7.0,2.0,1.0,9.0,1.0,4.0,2.0,1.0,34.0,0.0,2.0,0.0,1.0,2.0,7.0,0.0,5.0,111452.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,302.0,0.0,5.0,3.0,3.0,3.0,3.0,2.0,0.0,1.0,3.0,0.0,3.0,11.0,3.0,1.0,1.0,0.0,1.0,1.0,1.0,2.0,96.0,21.0,0.0,1.0,1.0,2.0,4.0,4.0,0.0,3.0,0.0,3.0,2.0,2.0,0.0,29.0,1.0,1.0,0.0,0.0,0.0
9.0,1.0,0.0,2.0,13.0,10.0,22.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,34.0,36.0,21.0,2.0,3.0,12.0,1.0,3.0,1.0,1.0,9.0,1.0,4.0,2.0,1.0,24.0,0.0,2.0,0.0,1.0,1.0,5.0,0.0,4.0,69918.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,995.0,0.0,3.0,1.0,1.0,1.0,1.0,995.0,0.0,0.0,0.0,1.0,3.0,3.0,3.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,17.0,17.0,0.0,1.0,1.0,2.0,4.0,4.0,2.0,3.0,2.0,3.0,2.0,2.0,0.0,19.0,1.0,1.0,0.0,1.0,
9.0,1.0,1.0,1.0,13.0,5.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,13.0,21.0,2.0,6.0,7.0,1.0,5.0,1.0,1.0,9.0,1.0,1.0,2.0,1.0,34.0,0.0,2.0,1.0,1.0,1.0,5.0,7.0,2.0,-37507.0,4.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,301.0,1.0,8.0,4.0,4.0,4.0,4.0,1.0,0.0,0.0,2.0,0.0,3.0,3.0,3.0,1.0,1.0,0.0,1.0,1.0,1.0,2.0,16.0,16.0,0.0,1.0,3.0,5.0,4.0,4.0,0.0,4.0,0.0,4.0,0.0,0.0,4.0,33.0,1.0,1.0,1.0,1.0,
9.0,1.0,3.0,1.0,13.0,5.0,15.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,11.0,27.0,21.0,2.0,3.0,8.0,1.0,2.0,0.0,2.0,9.0,1.0,2.0,1.0,2.0,25.0,0.0,1.0,0.0,2.0,0.0,5.0,4.0,4.0,28736.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,104.0,1.0,8.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,19.0,18.0,3.0,3.0,1.0,3.0,3.0,3.0,0.0,8.0,0.0,8.0,0.0,0.0,3.0,23.0,1.0,1.0,1.0,1.0,1.0
9.0,1.0,95.0,1.0,13.0,5.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,21.0,21.0,2.0,4.0,7.0,1.0,5.0,2.0,3.0,9.0,1.0,1.0,1.0,2.0,26.0,0.0,2.0,1.0,1.0,1.0,5.0,0.0,4.0,55901.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,203.0,1.0,3.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,2.0,3.0,0.0,0.0,5.0,2.0,2.0,96.0,16.0,0.0,3.0,1.0,2.0,4.0,4.0,0.0,8.0,0.0,8.0,2.0,2.0,0.0,24.0,1.0,1.0,1.0,1.0,1.0
9.0,1.0,3.0,1.0,13.0,5.0,96.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,34.0,27.0,21.0,2.0,3.0,8.0,1.0,3.0,1.0,1.0,9.0,1.0,2.0,2.0,1.0,25.0,0.0,2.0,1.0,2.0,2.0,5.0,4.0,4.0,69376.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,995.0,0.0,3.0,1.0,1.0,1.0,1.0,995.0,0.0,0.0,0.0,1.0,3.0,3.0,3.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,96.0,17.0,0.0,2.0,1.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0,1.0,1.0,0.0,21.0,1.0,1.0,0.0,1.0,0.0
9.0,1.0,1.0,1.0,71.0,10.0,11.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,31.0,32.0,33.0,2.0,7.0,8.0,1.0,10.0,2.0,2.0,9.0,1.0,2.0,12.0,2.0,30.0,0.0,1.0,1.0,2.0,2.0,7.0,0.0,5.0,266995.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,203.0,1.0,8.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0,3.0,3.0,1.0,1.0,0.0,1.0,5.0,2.0,2.0,15.0,15.0,0.0,3.0,1.0,2.0,3.0,3.0,0.0,3.0,0.0,3.0,2.0,1.0,0.0,27.0,1.0,1.0,1.0,1.0,
9.0,1.0,0.0,1.0,11.0,996.0,11.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,33.0,32.0,32.0,2.0,3.0,8.0,1.0,4.0,1.0,2.0,9.0,1.0,2.0,12.0,1.0,28.0,0.0,1.0,0.0,2.0,2.0,2.0,0.0,5.0,244302.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,203.0,1.0,4.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,16.0,16.0,0.0,3.0,1.0,2.0,2.0,2.0,0.0,3.0,0.0,3.0,1.0,1.0,0.0,19.0,1.0,0.0,0.0,1.0,0.0
9.0,1.0,17.0,2.0,13.0,10.0,23.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,34.0,31.0,21.0,1.0,7.0,10.0,1.0,5.0,0.0,2.0,9.0,1.0,3.0,1.0,2.0,34.0,0.0,2.0,1.0,2.0,2.0,7.0,0.0,5.0,101379.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,201.0,1.0,2.0,3.0,3.0,3.0,3.0,0.0,0.0,1.0,1.0,0.0,3.0,3.0,3.0,1.0,1.0,0.0,1.0,5.0,2.0,5.0,96.0,97.0,5.0,3.0,3.0,5.0,4.0,4.0,0.0,4.0,0.0,4.0,2.0,2.0,0.0,35.0,1.0,1.0,1.0,1.0,0.0
9.0,1.0,5.0,1.0,12.0,996.0,11.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,34.0,32.0,21.0,2.0,4.0,8.0,1.0,3.0,1.0,1.0,9.0,1.0,2.0,2.0,1.0,29.0,0.0,2.0,0.0,2.0,2.0,5.0,1.0,5.0,135651.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,308.0,0.0,4.0,1.0,2.0,2.0,1.0,8.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,3.0,0.0,1.0,1.0,1.0,2.0,20.0,20.0,0.0,1.0,1.0,2.0,3.0,3.0,1.0,5.0,1.0,5.0,2.0,1.0,0.0,26.0,1.0,1.0,0.0,0.0,0.0
9.0,1.0,4.0,3.0,12.0,996.0,13.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,35.0,32.0,32.0,2.0,4.0,15.0,1.0,2.0,0.0,1.0,9.0,1.0,5.0,2.0,1.0,30.0,0.0,2.0,0.0,2.0,2.0,2.0,3.0,5.0,131872.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,213.0,0.0,3.0,0.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,3.0,0.0,1.0,1.0,1.0,1.0,24.0,24.0,0.0,1.0,1.0,2.0,2.0,2.0,1.0,7.0,1.0,7.0,1.0,1.0,0.0,27.0,1.0,1.0,0.0,0.0,0.0
9.0,1.0,4.0,2.0,12.0,996.0,11.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,34.0,32.0,21.0,1.0,9.0,12.0,1.0,2.0,1.0,1.0,9.0,1.0,4.0,1.0,2.0,28.0,0.0,2.0,1.0,2.0,2.0,2.0,3.0,5.0,166807.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,106.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,3.0,0.0,1.0,5.0,2.0,2.0,18.0,18.0,0.0,3.0,1.0,3.0,3.0,3.0,0.0,8.0,0.0,8.0,0.0,0.0,3.0,28.0,1.0,1.0,1.0,1.0,1.0
9.0,1.0,13.0,2.0,12.0,996.0,11.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,34.0,32.0,21.0,2.0,4.0,12.0,1.0,5.0,1.0,1.0,9.0,1.0,4.0,2.0,1.0,43.0,0.0,2.0,2.0,2.0,2.0,2.0,1.0,5.0,202959.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,307.0,0.0,3.0,3.0,4.0,4.0,3.0,997.0,7.0,0.0,2.0,0.0,3.0,0.0,0.0,2.0,3.0,0.0,1.0,1.0,1.0,3.0,23.0,22.0,3.0,1.0,3.0,5.0,4.0,4.0,1.0,7.0,1.0,7.0,2.0,2.0,0.0,37.0,1.0,1.0,1.0,0.0,0.0
9.0,1.0,7.0,3.0,11.0,996.0,11.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,33.0,32.0,21.0,1.0,4.0,15.0,1.0,4.0,1.0,2.0,9.0,1.0,5.0,2.0,1.0,28.0,0.0,2.0,2.0,2.0,2.0,2.0,1.0,5.0,237319.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,204.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,3.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,96.0,25.0,0.0,1.0,3.0,5.0,2.0,2.0,0.0,4.0,0.0,4.0,1.0,1.0,0.0,28.0,1.0,1.0,1.0,1.0,0.0
9.0,1.0,1.0,2.0,13.0,60.0,11.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,35.0,32.0,21.0,3.0,6.0,12.0,1.0,3.0,1.0,1.0,9.0,1.0,4.0,2.0,1.0,22.0,0.0,2.0,0.0,2.0,0.0,5.0,1.0,4.0,69447.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,202.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,11.0,3.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,19.0,19.0,0.0,1.0,1.0,2.0,3.0,3.0,0.0,3.0,0.0,3.0,0.0,0.0,3.0,20.0,1.0,1.0,1.0,0.0,
9.0,1.0,5.0,3.0,12.0,996.0,11.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,34.0,32.0,21.0,2.0,2.0,14.0,1.0,2.0,0.0,2.0,9.0,1.0,5.0,1.0,2.0,25.0,0.0,2.0,2.0,1.0,2.0,2.0,1.0,5.0,151385.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,202.0,1.0,3.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,3.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,23.0,22.0,3.0,3.0,3.0,5.0,4.0,4.0,0.0,4.0,0.0,4.0,0.0,0.0,4.0,25.0,1.0,1.0,1.0,1.0,0.0
9.0,1.0,5.0,3.0,21.0,996.0,11.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,34.0,32.0,32.0,1.0,4.0,14.0,1.0,3.0,1.0,1.0,9.0,1.0,5.0,2.0,1.0,23.0,0.0,2.0,0.0,2.0,2.0,2.0,3.0,5.0,181138.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,201.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,3.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,96.0,20.0,0.0,1.0,1.0,2.0,3.0,3.0,0.0,3.0,0.0,3.0,2.0,1.0,0.0,22.0,1.0,0.0,0.0,1.0,
9.0,1.0,6.0,1.0,13.0,20.0,11.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,35.0,32.0,21.0,2.0,6.0,8.0,1.0,2.0,0.0,1.0,9.0,1.0,2.0,2.0,1.0,27.0,0.0,2.0,0.0,2.0,2.0,2.0,8.0,5.0,102720.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,201.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,2.0,3.0,0.0,1.0,1.0,1.0,2.0,19.0,19.0,0.0,1.0,1.0,1.0,3.0,3.0,0.0,7.0,0.0,7.0,1.0,2.0,0.0,26.0,1.0,0.0,0.0,0.0,
9.0,1.0,0.0,2.0,51.0,996.0,22.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,34.0,32.0,21.0,2.0,2.0,12.0,1.0,3.0,1.0,1.0,9.0,1.0,4.0,2.0,1.0,31.0,0.0,2.0,1.0,0.0,2.0,2.0,2.0,5.0,139721.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,108.0,1.0,3.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,3.0,1.0,3.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,18.0,18.0,0.0,1.0,1.0,2.0,3.0,3.0,0.0,3.0,0.0,3.0,2.0,1.0,0.0,25.0,0.0,1.0,1.0,1.0,
9.0,1.0,0.0,1.0,11.0,996.0,21.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,34.0,32.0,21.0,2.0,3.0,7.0,1.0,5.0,1.0,2.0,9.0,1.0,1.0,12.0,1.0,35.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,5.0,243598.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,203.0,1.0,8.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,3.0,1.0,1.0,0.0,1.0,3.0,2.0,2.0,15.0,15.0,0.0,2.0,1.0,2.0,4.0,4.0,0.0,3.0,0.0,3.0,2.0,2.0,0.0,21.0,0.0,0.0,0.0,1.0,0.0
9.0,1.0,6.0,2.0,12.0,996.0,21.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,33.0,32.0,21.0,2.0,4.0,10.0,1.0,8.0,2.0,2.0,9.0,1.0,3.0,2.0,1.0,44.0,0.0,2.0,1.0,1.0,0.0,2.0,0.0,5.0,254759.0,4.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,301.0,1.0,3.0,4.0,4.0,4.0,4.0,1.0,0.0,0.0,3.0,1.0,3.0,3.0,3.0,1.0,1.0,0.0,0.0,1.0,1.0,4.0,19.0,19.0,0.0,1.0,3.0,5.0,4.0,4.0,0.0,4.0,0.0,4.0,2.0,2.0,0.0,39.0,1.0,1.0,1.0,0.0,0.0
